name,target,version,median,min,max,accuracy
Swift,swift,6.2.4,250.39998,245.88891,274.68843,9.856455
x86-64 Assembly (NASM),x64-nasm,2.16.01,463.39104,457.05305,466.22958,9.497867
C (clang),c-clang,21.1.2,469.40796,468.79249,471.35622,9.498499
C (gcc),c,15.2.0,474.02567,470.69035,497.22354,9.494296
Rust (nightly),rust-nightly,1.98.0,472.23004,471.62348,473.77593,9.495223
Fortran 90,fortran,14.3.0,481.39934,472.01521,484.15774,9.389531
Nim,nim,2.2.0,473.35493,472.28869,478.60462,9.500023
C++ (clang++),cpp-clang,21.1.2,473.77305,473.00209,490.4787,9.498499
C++ (avx2),cpp-avx2,15.2.0,475.15829,473.40158,479.80925,9.497312
D (GDC),d,15.2.0,481.71408,474.35245,483.86271,9.494296
C# (SIMD),cs-simd,10.0.109,477.00583,475.88651,478.65172,9.494635
Common Lisp (SBCL SIMD),sbcl-simd,2.5.11,482.8845,476.18292,488.93298,9.497312
C++ (g++),cpp,15.2.0,509.1,479.8773,513.44908,9.494296
Swift (SIMD),swift-simd,6.2.4,688.72945,679.3058,693.44483,8.69276
Scala,scala,3.7.4,921.74534,919.48204,924.06584,9.497907
Odin,odin,2025,921.46728,920.17106,921.94652,9.497907
F#,fs,10.0.109,926.20644,926.083,928.35905,9.497907
Objective-C,objc,21.1.2,953.55304,942.81305,975.23171,9.496394
OCaml,ocaml,5.4.1,956.17454,946.63129,960.28223,9.497117
C#,cs,10.0.109,957.71077,950.47925,991.25627,9.497907
Common Lisp (SBCL),sbcl,2.5.11,957.47384,955.9134,986.22141,9.497907
Rust,rust,1.92.0,964.14227,963.70169,979.68238,9.497907
Ada (gnat-gcc),ada,15.2.0,982.03068,975.23991,1041.94024,9.496394
WASM (C via Wasmtime),wasm,39.0.1,1060.21501,1056.63815,1088.14705,9.497907
Swift (relaxed),swift-relaxed,6.2.4,1093.69023,1072.66652,1180.76765,9.497907
Dart (AOT),dart-aot,3.12.2,1109.5775,1096.92772,1326.04416,9.497907
LuaJIT,luajit,2.1.1723681758,1133.43336,1121.22164,1155.67582,9.496394
Pascal (FPC),pascal,3.2.2,1169.21952,1132.87743,1231.02857,9.497907
Pony,pony,0.58.0,1200.72954,1193.62648,1200.76022,9.497907
Pony(nightly),pony-nightly,20231205,1205.6075,1198.09616,1240.99645,9.497907
Crystal,crystal,1.18.2,1206.03929,1205.08458,1217.08788,9.496394
Go,go,1.25.11,1209.7942,1205.72913,1215.61363,9.496394
Deno (TypeScript),deno,2.8.3,1332.98676,1330.7549,1337.5176,9.497907
Python (Numba),cpython-numba,3.13.14,1437.81561,1391.45825,1491.41388,9.496394
Java graalvm,java-graalvm,25.0.1,1405.1759,1398.2482,1413.61106,9.496394
Javascript (nodejs),nodejs,25.9.0,1450.75111,1439.11845,1461.57218,9.497907
Chez Scheme,chez,10.3.0,1733.16888,1714.39807,1765.6762,9.496394
Racket,racket,9.2,1903.77466,1823.88606,1965.60025,9.496394
Java (Vec Ops),java-vecops,25.0.3,2156.82132,1996.45406,2196.9753,9.497867
Kotlin,kotlin,2.2.21,2162.37898,2156.33493,2163.4641,9.497907
Javascript (bun),bunjs,1.3.14,2294.96721,2274.89758,2370.49855,9.497907
Java,java,25.0.3,2321.70284,2310.30176,2352.15421,9.496394
Clojure,clj,1.12.5.1654,2865.79162,2681.96309,2935.44136,9.497907
Groovy,groovy,5.0.6,3240.42194,3100.81759,3327.35811,9.496394
Haskell (GHC),haskell,9.10.3,4046.73867,4040.14763,4051.50685,9.497907
Python (MyPyC),mypyc,2.1.0,4454.48785,4349.97387,4478.61503,9.497907
Python (PyPy),pypy,3.11.15,5455.73392,5454.04531,5456.35504,9.496394
Dart (JIT),dart,3.12.2,6174.42276,5951.13254,6339.75919,9.497907
R,r,4.5.2,6174.50447,6135.88432,6182.51007,9.49715
Erlang,erlang,28.5.0.2,13298.83354,13090.04569,13365.19111,9.496394
Elixir,elixir,15.2.7.8,15856.57364,15264.26977,16562.8743,9.496394
Lua,lua,5.4.8,15802.55091,15655.67673,15844.76595,9.496394
PHP,php,8.4.21,16465.81409,16333.3875,16551.74465,9.496394
Janet (compiled),janet-compiled,1.41.2,23260.22252,23233.6978,23291.64567,9.496394
Ruby,ruby,3.4.9,51897.22062,51554.55321,52639.64164,9.496394
Raku,raku,2026.03,106999.25453,104350.78862,108366.49843,9.496394
Perl,perl,5,110001.86313,109442.68439,111711.85561,9.496394
Python (CPython),cpython,3.14.6,138762.09591,138241.78669,141602.57237,9.496394
